Title,Year,Genre,Rating,Director,Cast,Votes,Description
The Idea of You,2023,"Comedy, Drama, Romance",6.4,Michael Showalter,"Anne Hathaway, Nicholas Galitzine, Ella Rubin, Annie Mumolo",28744,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet."
Kingdom of the Planet of the Apes,2023,"Action, Adventure, Sci-Fi",7.3,Wes Ball,"Owen Teague, Freya Allan, Kevin Durand, Peter Macon",22248,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike."
Unfrosted,2023,"Biography, Comedy, History",5.5,Jerry Seinfeld,"Isaac Bae, Jerry Seinfeld, Chris Rickett, Rachael Harris",18401,"In 1963 Michigan, business rivals Kellogg's and Post compete to create a cake that could change breakfast forever."
The Fall Guy,2023,"Action, Comedy, Drama",7.3,David Leitch,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham",38953,A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.
Challengers,2023,"Drama, Romance, Sport",7.7,Luca Guadagnino,"Zendaya, Mike Faist, Josh O'Connor, Darnell Appling",32517,"Tashi, a former tennis prodigy turned coach, turned her husband into a champion. But to overcome a losing streak, he needs to face his ex-best friend and Tashi's ex-boyfriend."
Abigail,2023,"Horror, Thriller",6.8,Matt Bettinelli-Olpin,"Tyler Gillett, Melissa Barrera, Dan Stevens, Alisha Weir, William Catlett",27284,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
Civil War,2023,"Action, Adventure, Thriller",7.5,Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny, Nick Offerman",64014,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House."
Anyone But You,2023,"Comedy, Romance",6.1,Will Gluck,"Sydney Sweeney, Glen Powell, Alexandra Shipp, Mia Artemis",82215,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple."
The Ministry of Ungentlemanly Warfare,2023,"Action, Drama, War",7,Guy Ritchie,"Henry Cavill, Alan Ritchson, Alex Pettyfer, Eiza González",21084,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
Dune: Part Two,2023,"Action, Adventure, Drama",8.7,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem",401659,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Furiosa: A Mad Max Saga,2023,"Action, Adventure, Sci-Fi",8.3,George Miller,"Anya Taylor-Joy, Chris Hemsworth, Charlee Fraser, Lachy Hulme",259,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Gojira -1.0,2023,"Action, Adventure, Drama",8,Takashi Yamazaki,"Minami Hamabe, Ryunosuke Kamiki, Sakura Andô, Rikako Miura",71109,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
Ghostbusters: Frozen Empire,2023,"Adventure, Comedy, Fantasy",6.2,Gil Kenan,"Paul Rudd, Carrie Coon, Finn Wolfhard, Mckenna Grace",39558,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
Love Lies Bleeding,2023,"Action, Adventure, Crime",6.8,Rose Glass,"Anna Baryshnikov, Kristen Stewart, Dave Franco, Katy O'Brian",20636,"Gym manager Lou falls for Jackie, a bodybuilder who is passing through town en route to a competition in Las Vegas."
The Judge,2023,"Crime, Drama, Mystery",7.4,David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton",204222,"Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth; along the way he reconnects with his estranged family."
Mother of the Bride,2023,"Comedy, Drama, Romance",4.9,Mark Waters,"Brooke Shields, Miranda Cosgrove, Benjamin Bratt, Rachael Harris",5081,Lana's daughter Emma returns from London and announces that she's getting married next month. Things become more complicated when Lana learns that the man who stole Emma's heart is the son of the man who broke hers years ago.
IF,2023,"Animation, Comedy, Drama",6.8,John Krasinski,"Cailey Fleming, Ryan Reynolds, John Krasinski, Phoebe Waller-Bridge",906,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Late Night with the Devil,2023,Horror,7.1,Cameron Cairnes,"Colin Cairnes, David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi",43902,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms."
Laapataa Ladies,2023,"Comedy, Drama",8.5,Kiran Rao,"Nitanshi Goel, Pratibha Ranta, Sparsh Srivastav, Savita Malviya",20957,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments."
War for the Planet of the Apes,2023,"Action, Adventure, Drama",7.4,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval",288425,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
